Id: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000                    001                    002                    003                    004                    005                    006                    007                    008                    009                    010                    011        
Frame 0000    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0001    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0002    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0003    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0004    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0005    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0006    1001 e1e607dffd6bfffd  1001 0007023f30021801  1001 00076e3fdffe1601  1001 0007ef8040001401  1001 00047f405fb00c3a  1001 0004f5401fc40c3a  1001 0005caffcfec0a3a  1001 0000000000000000  1001 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0007    0001 925e077801cc047b  0001 0006ee40affe1401  0001 00076b0040001001  0001 0007d6bfdffe0e01  0001 000466ffb044083a  0001 0005127ff030083a  0001 0005b2801020063a  0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0008    0001 e4ed949fedeff163  0001 000700001ffe1601  0001 0007578040021401  0001 0007eec00ffe1201  0001 000465bffff80a3a  0001 0005107fbfd20a3a  0001 0005cd002fc2083a  0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0009    0001 e0f71f90504828c5  0001 000709406ffe1201  0001 00076ebfa0021001  0001 0007f5001ffe0e01  0001 000481bfeff80c3a  0001 0004f880003c0c3a  0001 0005b2c00ffa0a3a  0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
