Id: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000                    001                    002                    003        
Frame 0000    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0001    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0002    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0003    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0004    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0005    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0006    1001 e1e607dffd6bfffd  1001 0007e00026e00253  0000 0000000000000000  0000 0000000000000000
Frame 0007    0001 925e077801cc047b  0001 0007e0002a60014b  0000 0000000000000000  0000 0000000000000000
Frame 0008    0001 e4ed949fedeff163  0001 0007e00013a001fe  0000 0000000000000000  0000 0000000000000000
Frame 0009    0001 e0f71f90504828c5  0001 0007e000108001d7  0000 0000000000000000  0000 0000000000000000
Frame 0010    0001 e5de9f37c643e605  0001 0007a0001bc0027c  0000 0000000000000000  0000 0000000000000000
Frame 0011    0001 9b99111e97d35593  0001 0007e0000a8001fe  0000 0000000000000000  0000 0000000000000000
Frame 0012    0001 9331948983b8bc33  0001 0006c00114e0052f  0000 0000000000000000  0000 0000000000000000
Frame 0013    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0014    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0015    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0016    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0017    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0018    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0019    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0020    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0021    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0022    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0023    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0024    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0025    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0026    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0027    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0028    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0029    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0030    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0031    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0032    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0033    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0034    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0035    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0036    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0037    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0038    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0039    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0040    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0041    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0042    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0043    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0044    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0045    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0046    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0047    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0048    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0049    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0050    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0051    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0052    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0053    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0054    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0055    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0056    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
